RANKING;COUNTRY;COU;PLAYER;MATCHES;GOALS;DEBUT;POSITION;WC;UCL/MUNDIALCLUB;EUROAMERICAN;SOLO_AWARD;ENGLAND;SPAIN;ITALY;GERMANY;FRANCE;CAPTAIN
10;ITA;Italy;Riccardo Orsolini;11;2;2019;Right;0;0;0;0;0;0;1;0;0;0
10;ITA;Italy;Matteo Politano;16;4;2018;Right;0;0;0;0;0;0;1;0;0;0
10;ITA;Italy;Mateo Retegui;22;8;2023;Center;0;0;0;1;0;0;0;0;0;0
10;ITA;Italy;Moise Kean;23;10;2018;Center;0;0;0;0;0;0;1;0;1;0
10;ITA;Italy;Giacomo Raspadori;42;11;2021;Center;0;0;1;0;0;0;1;0;0;0
9;CRO;Croatia;Marco Pasalic;8;1;2023;Right;0;0;0;0;0;0;0;0;0;0
9;CRO;Croatia;Franjo Ivanovic;6;2;2025;Center;0;0;0;0;0;0;0;0;0;0
9;CRO;Croatia;Ante Budimir;34;6;2020;Center;0;0;0;0;0;0;0;0;0;0
9;CRO;Croatia;Ivan Perisic;146;37;2011;Left;0;1;0;1;0;1;1;1;0;0
8;BEL;Belgium;Malick Fofana;3;1;2024;Left;0;0;0;0;0;0;0;0;0;0
8;BEL;Belgium;Dodi Lukebakio;26;2;2020;Right;0;0;0;0;0;0;0;0;0;0
8;BEL;Belgium;Lois Openda;28;3;2022;Center;0;0;0;0;0;0;0;1;0;0
8;BEL;Belgium;Jeremy Doku;35;5;2020;Left;0;0;0;1;0;0;0;0;0;0
8;BEL;Belgium;Leandro Trossard;47;10;2020;Left;0;0;0;0;1;0;0;0;0;0
8;BEL;Belgium;Michy Batshuayi;55;27;2015;Center;0;0;0;1;1;1;0;0;0;0
7;NED;Netherlands;Donyell Malen;45;11;2019;Right;0;0;0;0;0;0;0;0;0;0
7;NED;Netherlands;Wout Weghorst;47;14;2018;Center;0;0;0;1;1;0;0;0;0;0
7;NED;Netherlands;Cody Gakpo;42;15;2021;Left;0;0;0;1;1;0;0;0;0;0
7;NED;Netherlands;Memphis Depay;104;52;2013;Center;0;0;0;1;1;1;0;0;0;0
6;BRA;Brazil;Igor Jesus;4;0.75;2024;Center;0;0;0;0;0;0;0;0;0;0
6;BRA;Brazil;Estevao;7;1;2024;Right;0;0;0;0;0;0;0;0;0;0
6;BRA;Brazil;Matheus Cunha;15;1.25;2021;Center;0;0;0;0;0;0;0;0;0;0
6;BRA;Brazil;Gabriel Martinelli;19;2;2022;Left;0;0;0;0;1;0;0;0;0;0
6;BRA;Brazil;Luiz Enrique;8;2;2024;Right;0;0;0;0;0;0;0;0;0;0
6;BRA;Brazil;Vinicius Junior;41;7;2019;Left;0;1;0;2;0;1;0;0;0;0
6;BRA;Brazil;Rodrygo;33;7;2019;Right;0;1;0;0;0;1;0;0;0;0
6;BRA;Brazil;Richarlison;52;20;2018;Center;0;0;1;1;1;0;0;0;0;0
5;POR;Portugal;Pedro Goncalves;4;0;2021;Left;0;0;0;1;0;0;0;0;0;0
5;POR;Portugal;Francisco Conceicao;11;1.5;2024;Right;0;0;0;0;0;0;0;0;0;0
5;POR;Portugal;Francisco Trincao;13;2;2020;Right;0;0;0;0;0;1;0;0;0;0
5;POR;Portugal;Pedro Neto;19;2.5;2020;Right;0;1;0;0;1;0;1;0;0;0
5;POR;Portugal;Rafael Leao;40;5;2021;Left;0;0;0;1;0;0;1;0;0;0
5;POR;Portugal;Goncalo Ramos;18;9;2022;Center;0;1;0;0;0;0;0;0;1;0
5;POR;Portugal;Joao Felix;47;11;2019;Center;0;0;0;0;1;1;0;0;0;0
5;POR;Portugal;Cristiano Ronaldo;223;141;2003;Center;0;1;1;2;1;1;1;0;0;0
4;ENG;England;Jarrod Bowen;17;1;2022;Right;0;0;0;0;1;0;0;0;0;0
4;ENG;England;Anthony Gordon;14;1;2024;Left;0;0;0;0;1;0;0;0;0;0
4;ENG;England;Ollie Watkins;19;5;2021;Center;0;0;0;1;0;0;0;0;0;0
4;ENG;England;Bukayo Saka;44;12;2020;Right;0;0;0;0;1;0;0;0;0;0
4;ENG;England;Marcus Rashford;64;18;2016;Left;0;0;0;1;1;0;0;0;0;0
4;ENG;England;Harry Kane;109;74;2015;Center;0;0;0;2;0;0;0;1;0;0
3;ARG;Argentina;Franco Mastantuono;3;0;2025;Right;0;0;0;0;0;0;0;0;0;0
3;ARG;Argentina;Giuliano Simeone;7;1;2024;Right;0;0;0;0;0;0;0;0;0;0
3;ARG;Argentina;Thiago Almada;11;4;2022;Left;1;0;1;0;0;0;0;0;0;0
3;ARG;Argentina;Nico Gonzalez;45;6;2019;Left;0;0;1;0;0;0;0;0;0;0
3;ARG;Argentina;Julian Alvarez;48;13;2021;Center;1;1;1;1;1;0;0;0;0;0
3;ARG;Argentina;Lautaro Martinez;72;33;2018;Center;1;0;1;1;0;0;1;0;0;0
3;ARG;Argentina;Lionel Messi;194;114;2005;Right;1;1;1;2;0;1;0;0;1;0
2;FRA;France;Florian Thauvin;10;0.75;2017;Center;1;0;1;0;0;0;0;0;0;0
2;FRA;France;Christopher Nkunku;14;1.25;2022;Center;0;1;0;1;1;0;0;1;1;0
2;FRA;France;Bradley Barcola;16;3;2024;Left;0;1;0;0;0;0;0;0;1;0
2;FRA;France;Michael Olise;10;3;2024;Right;0;0;0;0;0;0;0;1;0;0
2;FRA;France;Kingsley Coman;59;8;2015;Left;0;1;0;0;0;0;1;1;1;0
2;FRA;France;Kylian Mbappe;92;52;2017;Center;1;0;1;2;0;1;0;0;1;0
1;ESP;Spain;Alex Baena;10;2;2023;Left;0;0;1;0;0;1;0;0;0;0
1;ESP;Spain;Yeremy Pino;15;3;2021;Right;0;0;0;0;0;1;0;0;0;0
1;ESP;Spain;Lamine Yamal;23;6;2023;Right;0;0;1;0;0;1;0;0;0;0
1;ESP;Spain;Mikel Oyarzabal;47;17;2016;Center;0;0;1;0;0;1;0;0;0;0
1;ESP;Spain;Ferran Torres;50;22;2020;Center;0;0;1;1;1;1;0;0;0;0
